0,190.19,3.67
0,146.22,1.09
0,119.48,3.78
1.991436134,94.77,0
0,109.98,2.93
9.214088944,136.38,14.64
7.408425742,80.99,0.09
465.2079806,2.88,0.02
234.0405925,1.63,0.65
823.6806509,1.07,0.31
123.7139624,1.07,0.31
1134.136423,1.82,0.4
510.6690405,1.06,0.37
206.0763611,0.94,0.07
184.2001382,1.11,0.01
27.4564939,1.23,0.17
68.4519203,1.35,0.43
92.66863366,1.63,0.44
219.9051987,1.4,0.02
261.048498,1.83,0.13
145.0624411,1.72,0.13
98.06313173,2.36,0.64
62.55925259,2.7,0.36
20.62787849,3.29,0.2
139.2963972,5.13,0.85
57.61794108,4.01,0.36
93.33008469,3.63,0.6
685.3522608,3.5,0.53
168.5514712,3.24,0.44
